VarType	CurveType	Round	fpr	tpr
INDEL	single	6	0.0208333333333	0.96511627907
INDEL	single	6	0.025390625	0.970930232558
INDEL	single	6	1.0	0.982558139535
INDEL	single	6	1.0	1.0
INDEL	single	7	0.0	0.00581395348837
INDEL	single	7	0.000651041666667	0.0406976744186
INDEL	single	7	0.00716145833333	0.790697674419
INDEL	single	7	0.0078125	0.813953488372
INDEL	single	7	0.0078125	0.854651162791
INDEL	single	7	0.0078125	0.860465116279
INDEL	single	7	0.00846354166667	0.895348837209
INDEL	single	7	0.009765625	0.924418604651
INDEL	single	7	0.0110677083333	0.959302325581
INDEL	single	7	0.013671875	0.970930232558
INDEL	single	7	0.0149739583333	0.976744186047
INDEL	single	7	0.015625	0.976744186047
INDEL	single	7	0.0188802083333	0.982558139535
INDEL	single	7	0.021484375	0.982558139535
INDEL	single	7	0.0247395833333	0.988372093023
INDEL	single	7	1.0	1.0
INDEL	single	8	0.0	0.0
INDEL	single	8	0.000651041666667	0.046511627907
INDEL	single	8	0.00716145833333	0.802325581395
INDEL	single	8	0.00716145833333	0.813953488372
INDEL	single	8	0.00716145833333	0.848837209302
INDEL	single	8	0.00716145833333	0.860465116279
INDEL	single	8	0.00716145833333	0.877906976744
INDEL	single	8	0.00911458333333	0.906976744186
INDEL	single	8	0.009765625	0.918604651163
INDEL	single	8	0.0110677083333	0.924418604651
INDEL	single	8	0.0110677083333	0.93023255814
INDEL	single	8	0.0123697916667	0.941860465116
INDEL	single	8	0.013671875	0.941860465116
INDEL	single	8	0.0149739583333	0.947674418605
INDEL	single	8	0.015625	0.959302325581
INDEL	single	8	0.0201822916667	0.96511627907
INDEL	single	8	0.0208333333333	0.96511627907
INDEL	single	8	0.0208333333333	0.970930232558
INDEL	single	8	0.0234375	0.982558139535
INDEL	single	8	1.0	0.994186046512
INDEL	single	8	1.0	1.0
INDEL	single	9	0.0	0.0
INDEL	single	9	0.000651041666667	0.046511627907
INDEL	single	9	0.00455729166667	0.825581395349
INDEL	single	9	0.005859375	0.837209302326
INDEL	single	9	0.00651041666667	0.837209302326
INDEL	single	9	0.00716145833333	0.877906976744
INDEL	single	9	0.00716145833333	0.889534883721
INDEL	single	9	0.00911458333333	0.93023255814
INDEL	single	9	0.009765625	0.93023255814
INDEL	single	9	0.0110677083333	0.959302325581
INDEL	single	9	0.0110677083333	0.970930232558
INDEL	single	9	0.0130208333333	0.976744186047
INDEL	single	9	0.015625	0.976744186047
INDEL	single	9	0.015625	0.982558139535
INDEL	single	9	0.0188802083333	0.982558139535
INDEL	single	9	0.01953125	0.982558139535
INDEL	single	9	0.0227864583333	0.982558139535
INDEL	single	9	1.0	1.0
